ID,名称,経度,緯度
1615,松島町中央公園（指定避難場所）,136.602021,36.564236
1616,健民海浜公園（指定避難場所）,136.58551699999998,36.591793
1617,市専光寺ソフトボール場（指定避難場所）,136.578959,36.586255
1620,西念町第２公園（指定避難場所）,136.64143,36.58701
1621,西念町児童公園（指定避難場所）,136.636765,36.587377000000004
1622,南新保第２児童公園（指定避難場所）,136.639324,36.594632
1623,姉妹都市公園（指定避難場所）,136.635274,36.591726
1626,西都ゆめみどり公園（指定避難場所）,136.626399,36.589968
1627,駅西第４児童公園（指定避難場所）,136.636102,36.582966
1628,桜田中央公園（指定避難場所）,136.619947,36.579271000000006
1629,北町児童公園（指定避難場所）,136.62657099999998,36.585438
1630,出雲中央公園（指定避難場所）,136.624938,36.576334
1632,大豆田公園（指定避難場所）,136.6329,36.572884
1633,示野中青島公園（指定避難場所）,136.615787,36.575588
1634,示野中中央公園（指定避難場所）,136.617205,36.577936
1635,若宮中央公園（指定避難場所）,136.631024,36.575191
1636,示野町児童公園（指定避難場所）,136.607222,36.581476
1640,長田２丁目ひまわり公園（指定避難場所）,136.640104,36.574896
1641,駅西第３児童公園（指定避難場所）,136.63988500000002,36.579937
1642,駅西中央公園（指定避難場所）,136.643596,36.582526
1643,駅西第１児童公園（指定避難場所）,136.643258,36.5785
1646,額新町２丁目緑地（指定避難場所）,136.619926,36.516304999999996
1647,額新町１丁目緑地（指定避難場所）,136.621827,36.520146999999994
1648,光が丘１丁目児童公園（指定避難場所）,136.625748,36.520842
1649,高尾南ゆうあい公園（指定避難場所）,136.631023,36.517403
1650,馬替児童公園（指定避難場所）,136.622416,36.523454
1651,城谷公園（指定避難場所）,136.62716,36.523252
1652,高尾第３児童公園（指定避難場所）,136.634331,36.515184000000005
1653,あすなろ公園（指定避難場所）,136.62016,36.518064
1654,額新町第３児童公園（指定避難場所）,136.620497,36.517314
1658,三十苅児童公園（指定避難場所）,136.618889,36.508122
1659,三十苅中央公園（指定避難場所）,136.615425,36.507494
1660,中四十万児童公園（指定避難場所）,136.621049,36.499874
1661,四十万あいぞめ公園（指定避難場所）,136.619473,36.497822
1662,四十万中央公園（指定避難場所）,136.618292,36.503516999999995
1664,額谷運動広場（指定避難場所）,136.628877,36.509208
1665,光が丘３丁目児童公園（指定避難場所）,136.627364,36.513079
1666,額谷第１児童公園（指定避難場所）,136.626285,36.508592
1667,額乙丸児童公園（指定避難場所）,136.618903,36.508174
1668,大額２丁目公園（指定避難場所）,136.62407,36.516795
1669,大額１丁目公園（指定避難場所）,136.61855,36.514143
1670,額せせらぎ公園（指定避難場所）,136.624969,36.512077000000005
1671,額谷ふれあい公園（指定避難場所）,136.62946399999998,36.509064
1672,額新保中央公園（指定避難場所）,136.616272,36.516312
1673,光が丘中央公園（指定避難場所）,136.627942,36.516282000000004
1679,的場公園（指定避難場所）,136.636471,36.522193
1680,横川日吉児童公園（指定避難場所）,136.623059,36.535323999999996
1681,三馬第４児童公園（指定避難場所）,136.630608,36.527494
1682,三馬第３児童公園（指定避難場所）,136.634777,36.526643
1683,三馬第２児童公園（指定避難場所）,136.631215,36.525164000000004
1684,窪錦丘公園（指定避難場所）,136.63915,36.5307
1685,三馬第１児童公園（指定避難場所）,136.632137,36.528494
1686,久安殿屋敷公園（指定避難場所）,136.630668,36.533471999999996
1687,久安伏見公園（指定避難場所）,136.632321,36.532901
