"ID","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"2339","36.581625","136.622586","避難所","","","","","","戸板公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0068","金沢市戸板５丁目87番地","","","","","","","",""
"2824","36.516912","136.688079","避難所","","","","","","犀川公民館（指定避難場所）","収容人数：154
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1302","石川県金沢市末町６の−６７−１","","","","","","","",""
"2825","36.562277","136.618274","避難所","","","","","","米丸交流広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","921-8016","金沢市東力町ハ3-1","","","","","","","",""
"2826","36.571474","136.655916","避難所","","","","","","近江町いちば館（指定避難場所）","収容人数：733
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-8217","金沢市青草町８８","","","","","","","",""
"2827","36.532653","136.629426","避難所","","","","","","金沢工業高等専門学校（指定避難場所）","収容人数：3600人
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3134","金沢市久安２丁目２７０","","","","","","","",""
"2828","36.605257","136.708135","避難所","","","","","","河原市町みずほ中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0172","金沢市河原市町30番","","","","","","","",""
"2829","36.536341","136.676468","避難所","","","","","","大桑防災拠点広場（指定避難場所）","収容人数：200
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8045","金沢市大桑3丁目80番","","","","","","","",""
"2830","36.53547","136.669494","避難所","","","","","","野田東公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8107","金沢市野田２丁目120番地","","","","","","","",""
"2831","36.533709","136.663394","避難所","","","","","","野田西公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8107","金沢市野田４丁目173番地","","","","","","","",""
"2832","36.53441","136.708065","避難所","","","","","","太陽が丘しいの木公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1154","太陽ヶ丘土地区画整理事業地内7工区11街区","","","","","","","",""
"3185","36.592807","136.671058","避難所","","","","","","東金沢駅前かがやき公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0802","金沢市三池町１９７−５３","","","","","","","",""
"3186","36.535081","136.668722","避難所","","","","","","野田南広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8107","金沢市野田１丁目45番地","","","","","","","",""
"3187","36.535081","136.668722","避難所","","","","","","野田中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8107","金沢市野田１丁目176番地","","","","","","","",""
"3188","36.616044","136.639819","避難所","","","","","","大河端西鷹狩り公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0210","金沢市大河端西１丁目57番地","","","","","","","",""
"3189","36.562778","136.666093","避難所","","","","","","金沢大学人間社会学域学校教育学類附属特別支援学校（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0933","金沢市東兼六町２−１０","","","","","","","",""
"3801","36.552767","136.648021","避難所","","","","","","旧野町小学校（指定避難場所）","収容人数：1924
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8031","金沢市野町３丁目１１−１ 旧野町小学校","","","","","","","標高：31.0M",""
"4017","36.538989","136.675823","避難所","","","","","","犀川緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","","金沢市涌波～普正寺町","","","","","","","緯度・経度はシステム上便宜的に入力しています。実際の位置（エリア）は犀川緑地（金沢市涌波～普正寺町）です。",""
"4018","36.597962","136.659445","避難所","","","","","","金沢プール（指定避難場所）","収容人数：809
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0012","金沢市磯部町ハ55番地","","","","","","","標高：4.8M",""
"4019","36.594682","136.625573","避難所","","","","","","東浅川公民館（指定避難場所）","収容人数：150
災害適否  地震：利用不可 津波：利用可能 洪水：未利用 土砂：利用可能","920-1146","金沢市上中町ニ14番地","","","","","","","標高：61.8M",""
