"ID","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1785","36.602961","136.632932","避難所","","","","","","鞍月公民館（指定避難場所）","収容人数：195
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-8216","金沢市直江町92街区2","","","","","","","標高：2.9M",""
"1786","36.609821","136.628083","避難所","","","","","","港中学校（指定避難場所）","収容人数：3122
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-8217","金沢市近岡町217","","","","","","","標高：2.0M",""
"1787","36.601836","136.632494","避難所","","","","","","鞍月小学校（指定避難場所）","収容人数：1926
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0064","金沢市南新保町リ27-1","","","","","","","標高：3.0M",""
"1788","36.622492","136.634587","避難所","","","","","","北間町公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0212","金沢市北間町ホ161","","","","","","","",""
"1789","36.608018","136.639831","避難所","","","","","","三口町第１児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0018","金沢市三口町火237","","","","","","","",""
"1790","36.633507","136.646503","避難所","","","","","","湊運動公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0211","金沢市湊2-86","","","","","","","",""
"1791","36.621208","136.638097","避難所","","","","","","北間町西公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0212","金沢市北間町ハ93-1","","","","","","","",""
"1792","36.635298","136.647018","避難所","","","","","","湊２丁目釣公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0211","金沢市湊2-34-1","","","","","","","",""
"1793","36.6113155","136.6401101","避難所","","","","","","弓取町児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0215","金沢市弓取町172","","","","","","","",""
"1794","36.61484","136.639885","避難所","","","","","","浅野川市民体育館（指定避難場所）","収容人数：404
災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0213","金沢市大河端町西80-1","","","","","","","標高：1.4M",""
"1795","36.615365","136.639571","避難所","","","","","","浅野川公民館（指定避難場所）","収容人数：120
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0213","金沢市大河端町西１丁目96番地","","","","","","","標高：1.5M",""
"1796","36.621053","136.641726","避難所","","","","","","浅野川小学校（指定避難場所）","収容人数：1830
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0207","金沢市須崎町チ42","","","","","","","標高：2.1M",""
"1797","36.600458","136.646875","避難所","","","","","","諸江町下丁ふれあい公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0014","金沢市諸江町下丁262-1","","","","","","","",""
"1798","36.586214","136.649381","避難所","","","","","","北安江２丁目公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0022","金沢市北安江2-1408-2","","","","","","","",""
"1799","36.602511","136.6399","避難所","","","","","","割出町公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0062","金沢市割出町418","","","","","","","",""
"1800","36.585532","136.646689","避難所","","","","","","駅西第２児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0022","金沢市北安江3-1201","","","","","","","",""
"1801","36.606132","136.638293","避難所","","","","","","問屋町緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0061","金沢市問屋町1-61","","","","","","","",""
"1802","36.60769","136.639168","避難所","","","","","","問屋児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0061","金沢市問屋町2-117-1","","","","","","","",""
"1804","36.593025","136.64207","避難所","","","","","","諸江児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0014","金沢市諸江町2815","","","","","","","",""
"1805","36.590668","136.641505","避難所","","","","","","諸江公民館（指定避難場所）","収容人数：173
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0014","金沢市諸江町29-1","","","","","","","標高：5.4M",""
"1806","36.602628","136.649032","避難所","","","","","","浅野川中学校（指定避難場所）","収容人数：3627
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0014","金沢市諸江町下丁388","","","","","","","標高：4.0M",""
"1807","36.588649","136.64793","避難所","","","","","","諸江町小学校（指定避難場所）","収容人数：2583
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0022","金沢市北安江2-25-1","","","","","","","標高：5.2M",""
"1809","36.580552","136.696624","避難所","","","","","","御所さくら公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0813","金沢市御所町1-407-1","","","","","","","",""
"1810","36.58115","136.700178","避難所","","","","","","御所ひがし公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0813","金沢市御所町2-172","","","","","","","",""
"1811","36.581895","136.697383","避難所","","","","","","御所にし公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0813","金沢市御所町2-189","","","","","","","",""
"1812","36.580801","136.69236","避難所","","","","","","御所かつら公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0813","金沢市御所町1-42","","","","","","","",""
"1813","36.573447","136.704411","避難所","","","","","","山王町第４児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0821","金沢市山王町1-394","","","","","","","",""
"1814","36.575971","136.696755","避難所","","","","","","山王町第２児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0821","金沢市山王町2-168","","","","","","","",""
"1815","36.56763","136.689192","避難所","","","","","","千寿閣（指定避難場所）","収容人数：289
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0822","金沢市東長江町辺2-1","","","","","","","標高：122.0M",""
"1816","36.572715","136.705605","避難所","","","","","","夕日寺公民館（指定避難場所）","収容人数：147
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0823","金沢市夕日寺町ロ35","","","","","","","標高：48.7M",""
"1817","36.577568","136.692366","避難所","","","","","","夕日寺小学校（指定避難場所）","収容人数：2220
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-0822","金沢市東長江町に17","","","","","","","標高：20.6M",""
"1818","36.601805","136.68485","避難所","","","","","","法光寺運動広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3132","金沢市法光寺町ト11-2","","","","","","","",""
